;date_time;url_clean;user_id;news_id;user_sid;news_sid;dt_index;hour_sid;hour;date;week_sid;weekday_sid;weekday;news_dt_sid;news_rdt_sid;user_dt_sid;user_rdt_sid;event_weight
0;2021-08-01 18:51:19;mos.ru/news/item/94006073/;1;94006073;213;104;359;17;18;2021-08-01;30;6;Âñ;61;362;58;193;1.0
1;2021-08-01 18:57:28;mos.ru/news/item/94000073/;1;94000073;213;416;366;17;18;2021-08-01;30;6;Âñ;19;2201;58;193;1.0
2;2021-08-04 08:49:49;mos.ru/news/item/94062073/;1;94062073;213;71;3162;79;8;2021-08-04;31;2;Ñð;216;775;58;193;1.0
3;2021-08-04 08:49:49;mos.ru/news/item/94063073/;1;94063073;213;31;3163;79;8;2021-08-04;31;2;Ñð;215;2385;58;193;1.0
4;2021-08-04 08:49:57;mos.ru/news/item/93893073/;1;93893073;213;100;3164;79;8;2021-08-04;31;2;Ñð;213;3278;58;193;1.0
5;2021-08-04 09:15:14;mos.ru/news/item/94098073/;1;94098073;213;273;3211;79;9;2021-08-04;31;2;Ñð;318;4034;58;193;1.0
6;2021-08-04 09:15:38;mos.ru/news/item/94106073/;1;94106073;213;430;3213;79;9;2021-08-04;31;2;Ñð;434;4877;58;193;1.0
7;2021-08-04 16:55:38;mos.ru/news/item/94108073/;1;94108073;213;75;3989;87;16;2021-08-04;31;2;Ñð;579;910;58;193;1.0
8;2021-08-04 16:55:45;mos.ru/news/item/94132073/;1;94132073;213;136;3990;87;16;2021-08-04;31;2;Ñð;580;3319;58;193;1.0
9;2021-08-04 16:56:02;mos.ru/news/item/94057073/;1;94057073;213;299;3991;87;16;2021-08-04;31;2;Ñð;587;2527;58;193;1.0
10;2021-08-04 16:56:07;mos.ru/news/item/94060073/;1;94060073;213;111;3992;87;16;2021-08-04;31;2;Ñð;583;2528;58;193;1.0
11;2021-08-04 16:56:11;mos.ru/news/item/94112073/;1;94112073;213;94;3996;87;16;2021-08-04;31;2;Ñð;585;3066;58;193;1.0
12;2021-08-05 21:49:12;mos.ru/mayor/themes/15299/7542050/;1;7542050;213;197;5396;116;21;2021-08-05;31;3;×ò;960;356;58;193;1.0
13;2021-08-07 22:49:03;mos.ru/news/item/94290073/;1;94290073;213;162;7091;165;22;2021-08-07;31;5;Ñá;1743;3702;58;193;1.0
14;2021-08-07 22:49:08;mos.ru/news/item/94156073/;1;94156073;213;276;7092;165;22;2021-08-07;31;5;Ñá;1027;2926;58;193;1.0
15;2021-08-07 22:49:13;mos.ru/mayor/themes/3299/7547050/;1;7547050;213;105;7094;165;22;2021-08-07;31;5;Ñá;1169;4313;58;193;1.0
16;2021-08-07 22:49:13;mos.ru/news/item/94249073/;1;94249073;213;145;7093;165;22;2021-08-07;31;5;Ñá;1396;2534;58;193;1.0
17;2021-08-08 13:45:12;mos.ru/news/item/94289073/;1;94289073;213;280;7324;180;13;2021-08-08;31;6;Âñ;2027;913;58;193;1.0
18;2021-08-08 13:45:21;mos.ru/news/item/94176073/;1;94176073;213;191;7325;180;13;2021-08-08;31;6;Âñ;2025;1903;58;193;1.0
19;2021-08-08 21:30:35;mos.ru/news/item/94178073/;1;94178073;213;88;7480;187;21;2021-08-08;31;6;Âñ;2109;2536;58;193;1.0
20;2021-08-09 22:44:56;mos.ru/news/item/94366073/;1;94366073;213;23;8996;213;22;2021-08-09;32;0;Ïí;2268;729;58;193;1.0
21;2021-08-10 22:25:23;mos.ru/news/item/94411073/;1;94411073;213;181;10396;236;22;2021-08-10;32;1;Âò;2588;4019;58;193;1.0
22;2021-08-10 22:25:24;mos.ru/news/item/94416073/;1;94416073;213;301;10397;236;22;2021-08-10;32;1;Âò;2583;776;58;193;1.0
23;2021-08-12 16:36:26;mos.ru/news/item/94480073/;1;94480073;213;180;12563;278;16;2021-08-12;32;3;×ò;2828;2541;58;193;1.0
24;2021-08-12 16:36:27;mos.ru/news/item/94483073/;1;94483073;213;166;12564;278;16;2021-08-12;32;3;×ò;2906;990;58;193;1.0
25;2021-08-12 16:36:32;mos.ru/news/item/94408073/;1;94408073;213;350;12566;278;16;2021-08-12;32;3;×ò;2888;755;58;193;1.0
26;2021-08-14 08:56:26;mos.ru/mayor/themes/15299/7268050/;1;7268050;213;1306;13982;319;8;2021-08-14;32;5;Ñá;635;2395;58;193;1.0
27;2021-08-14 08:56:32;mos.ru/news/item/94507073/;1;94507073;213;240;13983;319;8;2021-08-14;32;5;Ñá;3219;1406;58;193;1.0
28;2021-08-15 18:07:55;mos.ru/news/item/94381073/;1;94381073;213;86;14341;352;18;2021-08-15;32;6;Âñ;3482;3240;58;193;1.0
29;2021-08-15 18:22:05;mos.ru/news/item/94621073/;1;94621073;213;456;14344;352;18;2021-08-15;32;6;Âñ;3713;589;58;193;1.0
30;2021-08-15 18:22:06;mos.ru/news/item/94412073/;1;94412073;213;216;14345;352;18;2021-08-15;32;6;Âñ;3719;1487;58;193;1.0
31;2021-08-15 18:22:10;mos.ru/news/item/94556073/;1;94556073;213;215;14346;352;18;2021-08-15;32;6;Âñ;3718;2789;58;193;1.0
32;2021-08-15 18:22:15;mos.ru/news/item/94577073/;1;94577073;213;109;14348;352;18;2021-08-15;32;6;Âñ;3715;1915;58;193;1.0
33;2021-08-15 18:22:58;mos.ru/news/item/94642073/;1;94642073;213;46;14350;352;18;2021-08-15;32;6;Âñ;3732;257;58;193;1.0
34;2021-08-15 18:25:57;mos.ru/news/item/94572073/;1;94572073;213;101;14354;352;18;2021-08-15;32;6;Âñ;3758;1564;58;193;1.0
35;2021-08-15 18:26:04;mos.ru/news/item/94558073/;1;94558073;213;294;14355;352;18;2021-08-15;32;6;Âñ;3763;657;58;193;1.0
36;2021-08-16 09:07:09;mos.ru/news/item/94581073/;1;94581073;213;135;14604;367;9;2021-08-16;33;0;Ïí;3514;650;58;193;1.0
37;2021-08-17 18:11:00;mos.ru/news/item/94647073/;1;94647073;213;17;16695;400;18;2021-08-17;33;1;Âò;3779;2388;58;193;1.0
38;2021-08-17 18:11:02;mos.ru/news/item/94449073/;1;94449073;213;70;16696;400;18;2021-08-17;33;1;Âò;3783;1227;58;193;1.0
39;2021-08-17 18:15:42;mos.ru/news/item/94662073/;1;94662073;213;274;16702;400;18;2021-08-17;33;1;Âò;3814;2087;58;193;1.0
